Year-Month,Chain/Account,Distributor,EAN,Brand,Category,Sub_Category,Quantity,NSV
2026-04,AIRPLAZA AMRITSAR-2,RR Traders,8906087771807,Mamaearth,Hair,Shampoo,3,604.5
2026-04,AIRPLAZA BAHU-PLAZA,Sehaj Ent,8904417300512,Mamaearth,Face,Face Cleanser,12,3268.200004
2026-04,AIRPLAZA BAHU-PLAZA,Sehaj Ent,8904417312546,Mamaearth,Face,Face Cleanser,18,4902.300006
2026-04,AIRPLAZA BAHU-PLAZA,Sehaj Ent,8904417316346,Mamaearth,Face,Face Cleanser,3,243.75
2026-04,AIRPLAZA BAHU-PLAZA,Sehaj Ent,8906087772859,Mamaearth,Face,Face Cleanser,3,555.749999
2026-04,AIRPLAZA BAHU-PLAZA,Sehaj Ent,8906087778233,Mamaearth,Face,Face Cleanser,3,243.75
2026-04,AIRPLAZA BAHU-PLAZA,Sehaj Ent,8906087778240,Mamaearth,Face,Face Cleanser,33,2681.249992
2026-04,AIRPLAZA BAHU-PLAZA,Sehaj Ent,8906087779032,Mamaearth,Face,Face Cleanser,6,1049.1
2026-04,AIRPLAZA BAHU-PLAZA,Sehaj Ent,8904417307740,Mamaearth,Hair,Shampoo,9,1813.5
2026-04,AIRPLAZA BAHU-PLAZA,Sehaj Ent,8906087771807,Mamaearth,Hair,Shampoo,3,604.5
2026-04,AIRPLAZA BARNALA,RR Traders,8904417300512,Mamaearth,Face,Face Cleanser,9,2451.150003
2026-04,AIRPLAZA BARNALA,RR Traders,8904417312546,Mamaearth,Face,Face Cleanser,9,2451.150003
2026-04,AIRPLAZA BARNALA,RR Traders,8904417314298,Mamaearth,Face,Face Cleanser,12,3268.200004
2026-04,AIRPLAZA BARNALA,RR Traders,8904417316346,Mamaearth,Face,Face Cleanser,12,974.999998
2026-04,AIRPLAZA BARNALA,RR Traders,8906087770657,Mamaearth,Face,Face Cleanser,3,555.749999
2026-04,AIRPLAZA BARNALA,RR Traders,8906087770671,Mamaearth,Face,Face Cleanser,6,1049.1
2026-04,AIRPLAZA BARNALA,RR Traders,8906087772859,Mamaearth,Face,Face Cleanser,6,1111.499998
2026-04,AIRPLAZA BARNALA,RR Traders,8906087778233,Mamaearth,Face,Face Cleanser,9,731.249998
2026-04,AIRPLAZA BARNALA,RR Traders,8906087778240,Mamaearth,Face,Face Cleanser,6,487.499998
2026-04,AIRPLAZA BARNALA,RR Traders,8906087779032,Mamaearth,Face,Face Cleanser,6,1049.1
2026-04,AIRPLAZA BARNALA,RR Traders,8904417307740,Mamaearth,Hair,Shampoo,6,1209.0
2026-04,AIRPLAZA BARNALA,RR Traders,8906087771807,Mamaearth,Hair,Shampoo,3,604.5
2026-04,AIRPLAZA BHADURGARH,RR Traders,8904417300512,Mamaearth,Face,Face Cleanser,9,2451.150003
2026-04,AIRPLAZA BHADURGARH,RR Traders,8904417314298,Mamaearth,Face,Face Cleanser,6,1634.100002
2026-04,AIRPLAZA BHADURGARH,RR Traders,8904417316346,Mamaearth,Face,Face Cleanser,9,731.249998
2026-04,AIRPLAZA BHADURGARH,RR Traders,8906087770657,Mamaearth,Face,Face Cleanser,6,1049.1
2026-04,AIRPLAZA BHADURGARH,RR Traders,8906087770671,Mamaearth,Face,Face Cleanser,3,524.55
2026-04,AIRPLAZA BHADURGARH,RR Traders,8906087772859,Mamaearth,Face,Face Cleanser,6,1049.1
2026-04,AIRPLAZA BHADURGARH,RR Traders,8904417303537,Mamaearth,Hair,Shampoo,6,1917.599998
2026-04,AIRPLAZA BHADURGARH,RR Traders,8904417307740,Mamaearth,Hair,Shampoo,6,1209.0
2026-04,AIRPLAZA BHADURGARH,RR Traders,8906087771807,Mamaearth,Hair,Shampoo,3,604.5
2026-04,AIRPLAZA BHATINDA,RR Traders,8904417300512,Mamaearth,Face,Face Cleanser,6,1634.100002
2026-04,AIRPLAZA BHATINDA,RR Traders,8904417312546,Mamaearth,Face,Face Cleanser,3,817.050001
2026-04,AIRPLAZA BHATINDA,RR Traders,8904417316346,Mamaearth,Face,Face Cleanser,24,1949.999994
2026-04,AIRPLAZA BHATINDA,RR Traders,8906087770671,Mamaearth,Face,Face Cleanser,9,1573.649998
2026-04,AIRPLAZA BHATINDA,RR Traders,8906087772859,Mamaearth,Face,Face Cleanser,6,1111.499998
